track_name,album_name,artist_names,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track
king size,Feed Tha Streets III,roddy ricch,2022-11-18,USAT22220949,1163,44.0,3248779.0,3105,291653,33,590470795,8815644,113,7218,297262,440677355,,28,,,,,179455,70,,,,1
girls want girls (with lil baby),Certified Lover Boy,drake,2021-09-03,USUG12104399,1168,43.9,459480135.0,137691,22202207,68,94845922,710635,97707,54238635,550340528,27126576,77,1996,608,24,203415,46,63766205,182395,,1506723,,1
linger - siriusxm session,SiriusXM Session,royel otis,2024-05-31,FRX872443806,1171,43.9,8053814.0,908,11708987,69,,,74700,46235180,345797900,,16,,,1,120583,61,207576,91,,,,0
slow dancing in the dark,SLOW DANCING IN THE DARK,joji,2018-09-12,ZZOPM1800452,1167,43.9,1291244134.0,241882,48328259,29,576756813,6989481,976742,252216973,1853292133,140688974,39,1059,116,6,14150,3,18782933,75869,3484302,1785813,,1
bipolar,BIPOLAR,peso pluma,2023-09-07,QMBZ92388584,1169,43.9,222295526.0,18049,13695569,,110937613,675774,26622,6784,83048,164839813,9,1235,4,6,1331099,10,7908175,3651,3807803,872796,,1
addicted,Addicted (feat. Ink) - Single,zerb,2024-03-29,NLRD52350359,1170,43.9,63142772.0,7213,65806267,79,320436,6638,7812,3088170,63352002,,23,22016,53,18,586251,44,4517869,457,,512040,,1
besos moja2,Besos Moja2,wisin & yandel,2022-09-29,USSD12200829,1176,43.8,416361102.0,48450,23910344,69,251373932,911711,460773,158067701,1931498021,6946855,42,35473,26,25,555110,47,9511526,888,,739386,,0
wake up in the sky,Wake Up in the Sky,gucci mane,2018-09-14,USAT21811087,1173,43.8,996942947.0,188378,27325666,71,614755305,5707814,517615,50143641,424030507,52825959,40,63944,56,31,108234,17,165992311,128939,,6648622,,1
el chico del apartamento 512 - remasterizado 2024/30th anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),selena,2024-03-22,USUM72402909,1174,43.8,195435575.0,15,74994,,,,,,,,1,,,1,19628,1,45270647,23206,,,,0
papercut,Papercuts,linkin park,2024-04-12,USWB11201315,1177,43.8,497285757.0,130,484758,,,,,,,,,,,,,,,,,,,0
chanel,Chanel,becky g,2023-03-30,USRC12300804,1175,43.8,287853890.0,21244,8675975,65,267142398,1552179,98312,44289816,550080768,411799517,31,1280,65,12,378233,20,32344279,4466,,546765,,0
otro trago,Sueï¿½ï,sech,2019-04-18,QM9WM1900120,1172,43.8,693061510.0,73605,21529712,63,1315371330,9042596,263379,6844512,81046643,278722746,56,11331,30,9,344693,38,80895090,47467,,3179632,,1
back in blood (feat. lil durk),Back In Blood (feat. Lil Durk),pooh shiesty,2020-11-06,USAT22007048,1180,43.7,378239461.0,126894,19992900,62,477876565,3072709,95993,30522237,230352883,232331604,72,96321,198,4,56079,17,82609483,36243,,1280704,,1
jugaste y sufrï¿,Corta Venas,eslabon armado,2020-12-18,USE7D2000268,1182,43.7,492509763.0,83013,10228918,70,420395103,3706590,144000,92852948,624633508,3613322,17,244,,2,156,13,21099906,32737,33569805,2849462,,0
una foto remix (feat. emilia),Una Foto Remix (feat. Emilia),mesita,2024-01-05,UYS642300003,1181,43.7,206001461.0,15932,35397476,78,45907269,307741,,998400,13500000,,14,11512,,26,552100,21,148059,331,,394118,,0
religiously,Religiously,bailey zimmerman,2023-03-17,USWB12300537,1178,43.7,225556005.0,25164,10017767,73,23904394,111346,73524,5688685,56949752,243552012,28,154327,117,2,644,17,92243007,13325,2899190,594487,,0
what happened to virgil (feat. gunna),7220,lil durk,2022-03-11,USQX92200954,1179,43.7,144889291.0,63045,7698742,59,98375891,844144,96486,68284710,515213856,65793712,31,131447,726,3,245510,13,20715332,10912,27110567,1047166,,1
hello,Hello,adele,2015-10-23,GBBKS1500214,1186,43.6,1550553401.0,140637,42531792,68,347935820,3794833,209908,68479244,707793848,1006781,288,52436,119,166,496477,40,919585690,959806,,11659524,,0
hay lupita,HAY LUPITA - Single,lomiiel,2024-03-28,QZHNA2429530,1187,43.6,22692011.0,1996,19217759,71,51510163,439315,6538,9803472,84927420,5782251,13,1909,,4,492038,,125762,1408,,516845,,0
gatita,Gatita,bellakath,2022-10-05,QZPLR2286558,1184,43.6,218661601.0,25714,8048259,57,173995566,1354818,1961387,191009331,2353588008,324051,8,13477,600,3,154370,24,4469095,7776,38842,873692,,0
world on fire,NATE SMITH (DELUXE),nate smith,2023-04-28,USRN12300006,1183,43.6,100360956.0,15383,9521311,69,12196961,98714,45372,6096788,57109846,,19,242951,37,6,23353,17,66436990,4806,,415236,,0
love you anyway,Love You Anyway,luke combs,2023-02-10,US6XF2100158,1185,43.6,164507374.0,29896,7920265,67,47201934,291689,127315,21357285,220946119,389278042,20,146916,4,2,592,23,124948868,11423,,624045,,0
mojabi ghost,DATA,tainy,2023-06-29,USA2P2331985,1188,43.5,368429447.0,46625,20677828,75,74049864,676666,3207,955307,6911099,638649904,52,4683,49,11,847361,10,6221683,1262,,715485,,1
n95,Mr. Morale & The Big Steppers,kendrick lamar,2022-05-13,USUM72208963,1194,43.4,426936498.0,118020,24734503,74,124386115,2134071,34724,16024927,186922543,1303000868,48,13141,122,21,357536,45,8689010,3163,,1452569,,1
